feature,perm_delta_smape,classification
avg_sales_nonzero_days,177.03224437938798,유지 (핵심 피처)
roll_mean_7,117.09090413546188,유지 (핵심 피처)
roll_std_28,57.13482395449262,유지 (핵심 피처)
roll_mean_28,48.459869746577965,유지 (핵심 피처)
avg_sales_all_days,45.51244166021377,유지 (핵심 피처)
item_dow_idx,42.61668093812989,유지 (핵심 피처)
roll_max_14,41.66142758895273,유지 (핵심 피처)
roll_max_7,41.26911349730005,유지 (핵심 피처)
roll_mean_14,34.92138186505952,유지 (핵심 피처)
lag_1,28.347135587126782,유지 (핵심 피처)
zero_sales_day_ratio,26.750658058357203,유지 (핵심 피처)
roll_std_7,22.367757807352064,유지 (핵심 피처)
exp_item_dow_mean,21.235570862489222,유지 (핵심 피처)
item_id,21.234800646696385,유지 (핵심 피처)
exp_item_mean,15.275752823628409,유지 (핵심 피처)
is_holiday,14.703194007123216,유지 (핵심 피처)
exp_shop_dow_mean,12.888361676953195,유지 (핵심 피처)
roll_std_14,12.361547676735997,유지 (핵심 피처)
nonzero_rate_28,11.629864103692398,유지 (핵심 피처)
_banquet_type_enc,11.565962034167,유지 (핵심 피처)
roll_max_28,10.636556005398234,고민 (중간 중요도)
day,8.548559333118078,고민 (중간 중요도)
trend_7_1,7.633270802290212,고민 (중간 중요도)
lag_7,7.160659340569396,고민 (중간 중요도)
lag_14,7.035925374711496,고민 (중간 중요도)
dow,6.699938635792591,고민 (중간 중요도)
dow_sin,5.82922622074318,고민 (중간 중요도)
demand_volatility,5.158316342760827,고민 (중간 중요도)
is_sandwich,4.822349771791778,고민 (중간 중요도)
days_since_last_sale,4.539234882172764,고민 (중간 중요도)
shop_dow_idx,4.007008104026681,고민 (중간 중요도)
lag_28,3.619203943138018,고민 (중간 중요도)
woy_cos,3.2036242594805344,고민 (중간 중요도)
_menu_category_enc,2.8001103606256947,고민 (중간 중요도)
month_cos,2.494063403403288,고민 (중간 중요도)
dow_cos,2.306119397149814,고민 (중간 중요도)
trend_14_7,2.1581081672471782,고민 (중간 중요도)
delta_1_7,2.0360953111318167,고민 (중간 중요도)
is_after_holiday,1.7603009762522106,고민 (중간 중요도)
roll_min_14,1.1975936167146983,고민 (중간 중요도)
is_before_holiday,0.7106263607682877,고민 (중간 중요도)
woy,0.1849860298626708,고민 (중간 중요도)
is_weekday_price,0.1611870377518016,고민 (중간 중요도)
업장_id,0.1430396044199824,고민 (중간 중요도)
_season_enc,0.1315330469089985,고민 (중간 중요도)
woy_sin,0.0896179372944061,고민 (중간 중요도)
month,0.0407522455544722,제거 후보 (낮은 중요도)
brunch_flag,0.0235082800274994,제거 후보 (낮은 중요도)
is_weekend_price,0.0,제거 후보 (낮은 중요도)
is_weekend,0.0,제거 후보 (낮은 중요도)
is_sparse_menu,0.0,제거 후보 (낮은 중요도)
is_popular,0.0,제거 후보 (낮은 중요도)
year,0.0,제거 후보 (낮은 중요도)
is_drink,0.0,제거 후보 (낮은 중요도)
is_alcohol,0.0,제거 후보 (낮은 중요도)
cum_share_ref,0.0,제거 후보 (낮은 중요도)
demand_stability,0.0,제거 후보 (낮은 중요도)
quarter,0.0,제거 후보 (낮은 중요도)
cum_share_ref_solar,0.0,제거 후보 (낮은 중요도)
day_of_quarter,0.0,제거 후보 (낮은 중요도)
is_set_menu,0.0,제거 후보 (낮은 중요도)
cum_share_ref_season,0.0,제거 후보 (낮은 중요도)
month_sin,-0.0048738904561105,제거 후보 (낮은 중요도)
roll_min_28,-0.0746896161558652,제거 후보 (낮은 중요도)
week,-0.1376026413174713,제거 후보 (낮은 중요도)
roll_min_7,-0.1553856683011645,제거 후보 (낮은 중요도)
hallroom_flag,-0.5138450433790922,제거 후보 (낮은 중요도)
